Pt1,Ru1,Co1,Ni1,Cu1,Pt2,Ru2,Co2,Ni2,Cu2,Pt3,Ru3,Co3,Ni3,Cu3,label_ads,E_ads
4,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,-0.3474137
0,4,0,0,0,0,4,0,0,0,0,3,0,0,0,0,-0.4621937
0,0,4,0,0,0,0,4,0,0,0,0,3,0,0,0,-0.6245737
0,0,0,4,0,0,0,0,4,0,0,0,0,3,0,0,-0.6556037
0,0,0,0,4,0,0,0,0,4,0,0,0,0,3,0,-0.3644937
4,0,0,0,0,1,3,0,0,0,1,2,0,0,0,0,-0.2845237
3,1,0,0,0,0,4,0,0,0,2,1,0,0,0,0,-0.3606237
2,0,2,0,0,2,0,2,0,0,2,0,1,0,0,0,-0.3759237
2,0,0,2,0,1,0,0,3,0,2,0,0,1,0,0,-0.4737237
1,0,0,0,3,2,0,0,0,2,2,0,0,0,1,0,-0.3676437
0,3,1,0,0,0,1,3,0,0,0,2,1,0,0,0,-0.6252037
0,2,2,0,0,0,2,2,0,0,0,1,2,0,0,0,-0.5576937
0,1,0,0,3,0,4,0,0,0,0,1,0,0,2,0,-0.5604137
0,1,0,3,0,0,4,0,0,0,0,1,0,2,0,0,-0.6303737
0,0,3,1,0,0,0,1,3,0,0,0,1,2,0,0,-0.5880437
0,0,0,0,4,4,0,0,0,0,2,0,0,0,1,0,-0.1563037
3,0,0,1,0,3,0,0,1,0,0,0,0,3,0,0,-0.2072037
2,0,0,0,2,1,0,0,0,3,3,0,0,0,0,0,-0.4609137
0,4,0,0,0,3,1,0,0,0,3,0,0,0,0,0,-0.5319437
0,0,4,0,0,2,0,2,0,0,3,0,0,0,0,0,-0.5772337
0,0,0,3,1,0,0,0,3,1,0,0,0,0,3,0,-0.7090137
4,0,0,0,0,1,0,0,0,3,2,0,0,0,1,0,-0.3385837
2,0,2,0,0,3,0,1,0,0,2,0,1,0,0,0,-0.3374037
0,0,1,3,0,0,0,1,3,0,0,0,2,1,0,0,-0.6085337
0,4,0,0,0,0,4,0,0,0,0,2,0,1,0,0,-0.5066937
3,0,1,0,0,0,3,1,0,0,1,1,1,0,0,0,-0.2690237
3,0,0,0,1,0,0,0,2,2,1,0,0,1,1,0,-0.3207137
2,0,0,2,0,1,0,2,1,0,1,0,1,1,0,0,-0.4121537
2,0,0,2,0,1,0,0,1,2,1,0,0,1,1,0,-0.4186737
1,2,1,0,0,1,1,2,0,0,2,1,0,0,0,0,-0.5155037
1,2,1,0,0,1,1,2,0,0,2,0,1,0,0,0,-0.5223737
0,3,0,0,1,0,1,0,2,1,0,0,0,1,2,0,-0.5814237
0,2,0,2,0,0,0,3,1,0,0,2,0,1,0,0,-0.6372937
0,1,1,2,0,0,0,3,1,0,0,2,0,1,0,0,-0.7124437
0,0,3,1,0,0,0,0,1,3,0,0,1,2,0,0,-0.6078437
3,0,0,1,0,1,3,0,0,0,0,0,0,3,0,0,-0.2422837
0,0,0,0,4,0,4,0,0,0,0,0,3,0,0,0,-0.1777237
0,1,2,0,1,0,1,0,0,3,0,1,1,0,1,0,-0.7044837
0,1,1,2,0,0,3,1,0,0,0,1,1,1,0,0,-0.6329237
0,1,0,3,0,0,1,0,1,2,0,1,0,1,1,0,-0.7047737
0,1,0,2,1,0,3,0,0,1,0,1,0,1,1,0,-0.6653337
0,0,4,0,0,0,0,0,2,2,0,0,1,1,1,0,-0.6261837
0,0,3,1,0,2,0,1,1,0,1,0,1,1,0,0,-0.5365437
1,2,1,0,0,3,1,0,0,0,1,0,2,0,0,0,-0.4031637
1,2,1,0,0,2,2,0,0,0,0,1,2,0,0,0,-0.3836837
1,2,1,0,0,2,1,1,0,0,2,0,1,0,0,0,-0.5060437
0,2,1,0,1,0,1,2,0,1,0,0,0,0,3,0,-0.6479337
0,2,1,0,1,0,1,1,0,2,0,0,3,0,0,0,-0.6447937
1,2,0,1,0,1,0,0,3,0,2,0,0,1,0,0,-0.5432637
1,2,0,1,0,1,0,0,3,0,0,2,0,1,0,0,-0.4883737
0,3,1,0,0,0,0,4,0,0,0,1,0,0,2,0,-0.5579437
0,0,0,3,1,0,0,2,1,1,0,0,2,1,0,0,-0.6634337
1,0,0,3,0,1,2,0,1,0,3,0,0,0,0,0,-0.5519037
1,0,1,0,2,1,0,3,0,0,0,0,0,0,3,0,-0.4834037
0,0,2,0,2,4,0,0,0,0,0,0,3,0,0,0,-0.4052937
0,0,0,2,2,0,1,0,0,3,0,1,0,1,1,0,-0.6020537
4,0,0,0,0,2,2,0,0,0,0,1,0,2,0,0,-0.2515337
4,0,0,0,0,0,2,2,0,0,2,1,0,0,0,0,-0.3474637
2,0,1,0,1,0,0,1,0,3,0,0,1,0,2,0,-0.3877537
1,1,2,0,0,1,3,0,0,0,1,2,0,0,0,0,-0.4360537
0,4,0,0,0,0,2,0,2,0,0,0,0,1,2,0,-0.5370337
0,2,0,0,2,0,0,2,0,2,0,0,1,0,2,0,-0.6238337
0,1,1,0,2,0,1,3,0,0,0,1,2,0,0,0,-0.6856037
0,3,1,0,0,0,0,2,0,2,0,0,3,0,0,0,-0.6002637
0,0,2,0,2,0,0,0,0,4,3,0,0,0,0,0,-0.6132937
2,1,0,0,1,0,3,0,0,1,0,2,0,0,1,0,-0.3941537
1,3,0,0,0,0,2,2,0,0,0,0,3,0,0,0,-0.4393537
2,1,0,1,0,2,0,0,2,0,2,0,0,1,0,0,-0.4373437
0,1,0,0,3,2,0,0,0,2,2,0,0,0,1,0,-0.5808237
0,0,3,0,1,3,0,1,0,0,3,0,0,0,0,0,-0.5400037
2,2,0,0,0,0,2,0,2,0,0,3,0,0,0,0,-0.3612937
0,1,0,2,1,0,1,0,3,0,0,1,0,2,0,0,-0.6861437
0,0,0,4,0,0,0,0,4,0,2,0,0,0,1,0,-0.6751237
0,0,3,0,1,0,0,4,0,0,1,0,2,0,0,0,-0.6548537
0,1,0,3,0,0,0,1,3,0,0,0,0,3,0,0,-0.6438137
0,0,0,0,4,1,0,1,0,2,0,0,0,0,3,0,-0.3652137
0,0,0,3,1,0,0,1,3,0,0,0,0,3,0,0,-0.6712737
0,0,0,1,3,1,0,0,0,3,0,0,0,0,3,0,-0.5298837
0,3,1,0,0,0,2,0,2,0,0,0,3,0,0,0,-0.5631037
0,0,1,0,3,2,0,2,0,0,0,0,2,0,1,0,-0.3912437
3,0,0,1,0,0,0,1,1,2,0,0,1,1,1,0,-0.2505637
2,0,2,0,0,0,0,0,2,2,1,0,1,0,1,0,-0.4155237
1,0,1,2,0,0,3,1,0,0,1,0,1,1,0,0,-0.4475437
0,3,0,1,0,2,0,0,0,2,1,0,0,1,1,0,-0.5365937
0,2,2,0,0,2,0,0,2,0,0,1,1,1,0,0,-0.4872737
0,1,1,1,1,0,0,1,1,2,0,1,1,1,0,0,-0.6879237
0,1,1,0,2,3,1,0,0,0,0,1,1,0,1,0,-0.5676937
0,0,3,1,0,1,0,0,1,2,1,0,0,1,1,0,-0.6251337
0,0,2,2,0,2,1,1,0,0,1,1,0,1,0,0,-0.5328037
0,0,2,1,1,1,0,0,2,1,1,0,1,0,1,0,-0.6363537
0,0,1,2,1,0,1,1,0,2,0,1,1,1,0,0,-0.6531837
0,0,1,1,2,3,0,1,0,0,0,0,1,1,1,0,-0.4330437
3,1,0,0,0,0,2,1,1,0,0,0,1,2,0,0,-0.2226237
1,3,0,0,0,2,0,0,2,0,0,0,2,1,0,0,-0.4132237
1,1,0,0,2,1,2,0,1,0,0,0,0,2,1,0,-0.4011037
1,0,0,0,3,0,1,0,3,0,1,2,0,0,0,0,-0.4187437
0,0,1,0,3,0,0,1,3,0,0,2,1,0,0,0,-0.3898737
2,0,2,0,0,1,1,1,1,0,0,2,0,1,0,0,-0.3369537
0,0,1,2,1,0,1,2,1,0,0,2,0,0,1,0,-0.6337837
0,0,0,3,1,1,2,0,0,1,2,1,0,0,0,0,-0.6333337
0,0,1,3,0,1,0,1,0,2,1,0,0,1,1,0,-0.6667737
2,0,0,2,0,0,0,0,2,2,0,2,0,0,1,0,-0.4219937
0,0,1,2,1,0,2,1,0,1,0,0,2,0,1,0,-0.6116137
2,0,1,1,0,0,0,1,0,3,0,0,1,1,1,0,-0.3538137
2,0,0,2,0,2,1,1,0,0,0,1,2,0,0,0,-0.3022137
0,1,1,0,2,0,1,1,0,2,0,1,1,1,0,0,-0.6760237
1,0,2,1,0,2,2,0,0,0,0,1,2,0,0,0,-0.3701037
0,0,0,2,2,0,0,2,1,1,1,0,2,0,0,0,-0.6145737
3,0,0,0,1,0,0,4,0,0,0,0,0,3,0,0,-0.2639137
2,0,0,1,1,1,0,1,1,1,2,0,1,0,0,0,-0.4493137
0,1,2,1,0,2,1,0,1,0,0,3,0,0,0,0,-0.5062437
0,3,0,1,0,1,0,0,3,0,1,1,0,0,1,0,-0.6865937
1,0,2,0,1,3,1,0,0,0,0,0,2,0,1,0,-0.3617437
1,0,1,1,1,0,0,3,0,1,0,0,0,1,2,0,-0.5329037
0,0,1,0,3,1,0,1,2,0,0,0,2,0,1,0,-0.4480537
0,1,3,0,0,0,1,3,0,0,2,0,0,1,0,0,-0.7472937
0,0,0,3,1,0,2,0,1,1,1,0,0,2,0,0,-0.6703637
2,0,0,1,1,1,0,1,1,1,3,0,0,0,0,0,-0.5005837
1,0,1,2,0,3,0,0,0,1,1,0,0,2,0,0,-0.3968937
0,0,0,1,3,1,0,0,2,1,0,1,0,2,0,0,-0.4770937
0,0,4,0,0,0,1,0,2,1,0,0,0,3,0,0,-0.5873237
1,2,1,0,0,0,3,0,1,0,0,1,0,2,0,0,-0.4041637
1,3,0,0,0,0,0,0,0,4,0,0,0,1,2,0,-0.4614337
0,1,2,0,1,0,0,4,0,0,0,0,0,1,2,0,-0.6846937
0,1,0,0,3,1,3,0,0,0,0,2,1,0,0,0,-0.4752737
3,0,1,0,0,2,1,0,1,0,1,2,0,0,0,0,-0.2775037
1,0,1,1,1,1,0,3,0,0,1,0,2,0,0,0,-0.4906237
0,0,1,0,3,1,1,1,0,1,0,0,1,0,2,0,-0.4426637
0,1,0,0,3,1,0,0,0,3,0,0,3,0,0,0,-0.5901437
0,1,0,0,3,0,0,0,0,4,1,1,0,1,0,0,-0.6537537
0,3,0,0,1,0,4,0,0,0,2,0,0,1,0,0,-0.5915737
0,1,2,0,1,0,0,0,0,4,0,0,0,1,2,0,-0.6377937
2,1,1,0,0,2,1,0,1,0,3,0,0,0,0,0,-0.4636337
1,3,0,0,0,0,3,0,0,1,0,2,0,1,0,0,-0.4295537
0,0,0,0,4,1,1,1,0,1,0,0,0,0,3,0,-0.2868537
2,2,0,0,0,0,0,1,2,1,0,0,1,1,1,0,-0.3286537
2,1,1,0,0,0,0,0,2,2,0,1,1,1,0,0,-0.3629137
2,1,0,1,0,0,1,1,1,1,0,0,1,1,1,0,-0.3363737
2,0,2,0,0,0,1,0,2,1,0,1,0,1,1,0,-0.3545737
2,0,1,1,0,0,2,0,1,1,0,0,1,1,1,0,-0.3198037
2,0,0,2,0,0,1,1,0,2,0,1,1,1,0,0,-0.3860537
2,0,0,1,1,0,2,1,1,0,0,0,1,1,1,0,-0.3568337
1,2,0,1,0,0,0,1,1,2,1,0,1,1,0,0,-0.4827537
1,2,0,0,1,1,0,1,2,0,0,0,1,1,1,0,-0.4545137
1,1,1,0,1,0,0,0,3,1,1,1,1,0,0,0,-0.5615137
1,1,0,2,0,1,1,1,0,1,0,0,1,1,1,0,-0.4624237
0,1,1,2,0,1,1,1,0,1,1,0,0,1,1,0,-0.6394737
0,0,1,2,1,1,1,0,1,1,1,1,1,0,0,0,-0.6195237
0,0,1,1,2,2,1,0,1,0,0,1,1,1,0,0,-0.4571137
2,2,0,0,0,0,0,0,3,1,0,0,2,0,1,0,-0.3328537
0,1,2,0,1,1,1,0,1,1,1,0,0,2,0,0,-0.6364337
0,1,1,1,1,2,1,1,0,0,0,0,0,2,1,0,-0.6293737
3,0,0,1,0,0,1,2,0,1,0,1,0,1,1,0,-0.2565337
2,1,0,0,1,1,1,0,0,2,0,0,2,1,0,0,-0.3482837
1,0,0,1,2,1,1,1,0,1,0,2,1,0,0,0,-0.3992837
0,1,1,2,0,1,0,0,0,3,1,2,0,0,0,0,-0.6430137
0,1,0,3,0,2,0,1,0,1,0,0,1,0,2,0,-0.5995637
0,0,0,1,3,2,1,1,0,0,0,0,1,2,0,0,-0.3698437
2,1,0,1,0,0,1,3,0,0,0,1,0,1,1,0,-0.3481337
2,0,0,1,1,0,2,2,0,0,0,1,1,1,0,0,-0.3627637
1,1,0,1,1,1,1,1,1,0,0,1,0,1,1,0,-0.4588737
1,0,0,2,1,1,3,0,0,0,0,0,1,1,1,0,-0.4632137
0,1,0,2,1,1,2,1,0,0,0,0,1,1,1,0,-0.6289337
0,2,2,0,0,1,0,1,0,2,1,0,1,1,0,0,-0.6103337
1,1,0,1,1,1,1,1,0,1,0,0,0,1,2,0,-0.4892937
0,1,1,0,2,1,0,0,1,2,0,1,1,1,0,0,-0.6275437
1,2,1,0,0,1,0,2,0,1,1,1,0,1,0,0,-0.5634837
0,0,3,1,0,2,2,0,0,0,1,1,0,0,1,0,-0.5183037
1,0,1,0,2,0,1,2,0,1,0,2,0,1,0,0,-0.4472137
1,0,2,0,1,0,0,0,4,0,1,1,1,0,0,0,-0.4825337
0,0,2,2,0,1,3,0,0,0,0,1,0,1,1,0,-0.5770037
4,0,0,0,0,0,1,2,0,1,0,2,0,1,0,0,-0.2785337
1,2,0,1,0,0,0,1,2,1,0,0,0,1,2,0,-0.4551737
0,2,0,2,0,1,0,0,2,1,2,0,1,0,0,0,-0.6822937
0,1,0,2,1,1,0,2,0,1,0,0,2,0,1,0,-0.6717737
0,0,1,2,1,1,2,0,1,0,0,0,0,1,2,0,-0.6253037
1,1,2,0,0,0,0,1,2,1,0,0,0,2,1,0,-0.4755737
0,2,2,0,0,0,3,0,0,1,1,0,0,1,1,0,-0.5782137
2,0,1,1,0,3,0,1,0,0,0,1,0,0,2,0,-0.3022137
1,1,1,0,1,0,0,2,1,1,1,0,2,0,0,0,-0.5003837
1,0,1,2,0,2,0,0,0,2,2,1,0,0,0,0,-0.4811937
0,1,0,2,1,2,0,0,2,0,0,0,2,1,0,0,-0.5970437
0,0,0,3,1,2,0,0,2,0,0,1,2,0,0,0,-0.5839837
1,1,2,0,0,1,0,0,2,1,0,0,0,3,0,0,-0.4466537
1,0,2,1,0,1,1,0,0,2,0,0,0,0,3,0,-0.4514037
0,0,2,0,2,2,1,0,1,0,3,0,0,0,0,0,-0.5084437
0,1,2,1,0,0,0,0,0,4,1,0,2,0,0,0,-0.6449237
1,3,0,0,0,0,1,1,1,1,3,0,0,0,0,0,-0.5519237
2,0,0,2,0,3,0,1,0,0,0,1,0,1,1,0,-0.3173137
1,0,2,1,0,3,0,0,0,1,1,1,1,0,0,0,-0.3810737
2,1,0,1,0,1,2,0,0,1,2,0,1,0,0,0,-0.4242837
1,1,0,1,1,4,0,0,0,0,0,2,1,0,0,0,-0.3828537
1,0,2,0,1,0,0,1,1,2,0,1,0,0,2,0,-0.5134637
1,0,1,2,0,2,1,0,1,0,2,0,0,0,1,0,-0.4742937
1,1,0,1,1,2,0,2,0,0,0,0,3,0,0,0,-0.4488537
0,0,0,4,0,1,1,0,1,1,0,0,3,0,0,0,-0.5971337
0,0,0,3,1,1,1,1,0,1,0,0,0,0,3,0,-0.6836337
0,1,2,0,1,0,0,0,0,4,1,0,0,1,1,0,-0.6749837
1,0,0,3,0,0,1,0,1,2,0,0,1,2,0,0,-0.4964137
0,0,3,1,0,2,0,1,0,1,0,1,2,0,0,0,-0.5236237
0,0,2,1,1,0,0,4,0,0,1,2,0,0,0,0,-0.6501437
0,0,0,1,3,1,1,1,0,1,0,1,0,0,2,0,-0.4661837
0,1,1,1,1,3,0,0,1,0,3,0,0,0,0,0,-0.6563037
4,0,0,0,0,2,1,0,1,0,1,0,1,0,1,0,-0.2568437
3,0,0,1,0,3,0,0,0,1,1,1,1,0,0,0,-0.2605437
0,1,2,0,1,0,0,3,1,0,1,0,2,0,0,0,-0.6940137
1,0,1,1,1,0,1,0,0,3,0,0,0,0,3,0,-0.5323037
2,0,1,0,1,0,3,1,0,0,1,0,0,2,0,0,-0.3626537
2,0,1,0,1,0,3,0,1,0,0,1,1,1,0,0,-0.3193537
1,1,2,0,0,0,0,1,1,2,1,1,1,0,0,0,-0.5743137
0,2,0,1,1,1,1,2,0,0,1,1,0,1,0,0,-0.7024037
1,0,1,1,1,3,0,0,0,1,0,2,1,0,0,0,-0.3957537
0,1,0,2,1,3,1,0,0,0,1,0,2,0,0,0,-0.6037037
0,1,1,2,0,0,1,0,0,3,1,0,1,0,1,0,-0.7314337
0,2,0,1,1,0,1,1,0,2,1,0,0,2,0,0,-0.6444937
2,2,0,0,0,1,1,1,0,1,1,0,0,1,1,0,-0.3629337
2,0,0,1,1,1,0,3,0,0,0,1,1,0,1,0,-0.3892237
0,0,1,0,3,2,1,0,1,0,1,0,0,1,1,0,-0.4043537
1,2,0,0,1,1,1,2,0,0,2,0,0,1,0,0,-0.5471037
1,0,1,1,1,3,1,0,0,0,0,2,0,0,1,0,-0.4211037
1,0,0,1,2,0,2,1,0,1,0,2,1,0,0,0,-0.4101537
0,1,1,1,1,1,1,0,0,2,2,0,0,0,1,0,-0.7158337
0,1,0,1,2,0,0,2,1,1,1,0,2,0,0,0,-0.6604537
0,0,1,1,2,3,1,0,0,0,0,1,0,0,2,0,-0.4835837
1,0,1,1,1,0,3,0,0,1,0,0,0,3,0,0,-0.4422037
4,0,0,0,0,4,0,0,0,0,3,0,0,0,0,1,-0.3452237
0,4,0,0,0,0,4,0,0,0,0,3,0,0,0,1,-0.5495137
0,0,4,0,0,0,0,4,0,0,0,0,3,0,0,1,-0.6613137
0,0,0,4,0,0,0,0,4,0,0,0,0,3,0,1,-0.6643437
0,0,0,0,4,0,0,0,0,4,0,0,0,0,3,1,-0.3916537
4,0,0,0,0,1,3,0,0,0,1,2,0,0,0,1,-0.3084837
3,1,0,0,0,0,4,0,0,0,2,1,0,0,0,1,-0.4504637
2,0,2,0,0,2,0,2,0,0,2,0,1,0,0,1,-0.3878537
2,0,0,2,0,1,0,0,3,0,2,0,0,1,0,1,-0.4361637
1,0,0,0,3,2,0,0,0,2,2,0,0,0,1,1,-0.4037937
0,3,1,0,0,0,1,3,0,0,0,2,1,0,0,1,-0.6603537
0,2,2,0,0,0,2,2,0,0,0,1,2,0,0,1,-0.6430337
0,1,0,0,3,0,4,0,0,0,0,1,0,0,2,1,-0.5041437
0,1,0,3,0,0,4,0,0,0,0,1,0,2,0,1,-0.6168237
0,0,3,1,0,0,0,1,3,0,0,0,1,2,0,1,-0.6232237
0,0,0,0,4,4,0,0,0,0,2,0,0,0,1,1,-0.2316937
3,0,0,1,0,3,0,0,1,0,0,0,0,3,0,1,-0.3184337
2,0,0,0,2,1,0,0,0,3,3,0,0,0,0,1,-0.4097437
0,4,0,0,0,3,1,0,0,0,3,0,0,0,0,1,-0.5542237
0,0,4,0,0,2,0,2,0,0,3,0,0,0,0,1,-0.5881137
0,0,0,3,1,0,0,0,3,1,0,0,0,0,3,1,-0.6374037
4,0,0,0,0,1,0,0,0,3,2,0,0,0,1,1,-0.3090037
2,0,2,0,0,3,0,1,0,0,2,0,1,0,0,1,-0.3868537
0,0,1,3,0,0,0,1,3,0,0,0,2,1,0,1,-0.6186137
0,4,0,0,0,0,4,0,0,0,0,2,0,1,0,1,-0.5608437
3,0,1,0,0,0,3,1,0,0,1,1,1,0,0,1,-0.3557337
3,0,0,0,1,0,0,0,2,2,1,0,0,1,1,1,-0.3606837
2,0,0,2,0,1,0,2,1,0,1,0,1,1,0,1,-0.3796737
2,0,0,2,0,1,0,0,1,2,1,0,0,1,1,1,-0.3950537
1,2,1,0,0,1,1,2,0,0,2,1,0,0,0,1,-0.5155637
1,2,1,0,0,1,1,2,0,0,2,0,1,0,0,1,-0.5261237
0,3,0,0,1,0,1,0,2,1,0,0,0,1,2,1,-0.6008537
0,2,0,2,0,0,0,3,1,0,0,2,0,1,0,1,-0.6998637
0,1,1,2,0,0,0,3,1,0,0,2,0,1,0,1,-0.6703137
0,0,3,1,0,0,0,0,1,3,0,0,1,2,0,1,-0.6350937
3,0,0,1,0,1,3,0,0,0,0,0,0,3,0,1,-0.3305937
0,0,0,0,4,0,4,0,0,0,0,0,3,0,0,1,-0.1712537
0,1,2,0,1,0,1,0,0,3,0,1,1,0,1,1,-0.5546137
0,1,1,2,0,0,3,1,0,0,0,1,1,1,0,1,-0.6543737
0,1,0,3,0,0,1,0,1,2,0,1,0,1,1,1,-0.5975437
0,1,0,2,1,0,3,0,0,1,0,1,0,1,1,1,-0.5975237
0,0,4,0,0,0,0,0,2,2,0,0,1,1,1,1,-0.6599737
0,0,3,1,0,2,0,1,1,0,1,0,1,1,0,1,-0.5668637
1,2,1,0,0,3,1,0,0,0,1,0,2,0,0,1,-0.4364237
1,2,1,0,0,2,2,0,0,0,0,1,2,0,0,1,-0.4407937
1,2,1,0,0,2,1,1,0,0,2,0,1,0,0,1,-0.5090737
0,2,1,0,1,0,1,2,0,1,0,0,0,0,3,1,-0.6107237
0,2,1,0,1,0,1,1,0,2,0,0,3,0,0,1,-0.6039337
1,2,0,1,0,1,0,0,3,0,2,0,0,1,0,1,-0.5244337
1,2,0,1,0,1,0,0,3,0,0,2,0,1,0,1,-0.5042037
0,3,1,0,0,0,0,4,0,0,0,1,0,0,2,1,-0.6679037
0,0,0,3,1,0,0,2,1,1,0,0,2,1,0,1,-0.5727837
1,0,0,3,0,1,2,0,1,0,3,0,0,0,0,1,-0.5505137
1,0,1,0,2,1,0,3,0,0,0,0,0,0,3,1,-0.4411937
0,0,2,0,2,4,0,0,0,0,0,0,3,0,0,1,-0.4235437
0,0,0,2,2,0,1,0,0,3,0,1,0,1,1,1,-0.5553537
4,0,0,0,0,2,2,0,0,0,0,1,0,2,0,1,-0.2652337
4,0,0,0,0,0,2,2,0,0,2,1,0,0,0,1,-0.3542737
2,0,1,0,1,0,0,1,0,3,0,0,1,0,2,1,-0.3561837
1,1,2,0,0,1,3,0,0,0,1,2,0,0,0,1,-0.4611337
0,4,0,0,0,0,2,0,2,0,0,0,0,1,2,1,-0.5728837
0,2,0,0,2,0,0,2,0,2,0,0,1,0,2,1,-0.6352037
0,1,1,0,2,0,1,3,0,0,0,1,2,0,0,1,-0.5943437
0,3,1,0,0,0,0,2,0,2,0,0,3,0,0,1,-0.7179337
0,0,2,0,2,0,0,0,0,4,3,0,0,0,0,1,-0.6301537
2,1,0,0,1,0,3,0,0,1,0,2,0,0,1,1,-0.3565137
1,3,0,0,0,0,2,2,0,0,0,0,3,0,0,1,-0.4725137
2,1,0,1,0,2,0,0,2,0,2,0,0,1,0,1,-0.4416437
0,1,0,0,3,2,0,0,0,2,2,0,0,0,1,1,-0.5341537
0,0,3,0,1,3,0,1,0,0,3,0,0,0,0,1,-0.5427637
2,2,0,0,0,0,2,0,2,0,0,3,0,0,0,1,-0.3468037
0,1,0,2,1,0,1,0,3,0,0,1,0,2,0,1,-0.5401637
0,0,0,4,0,0,0,0,4,0,2,0,0,0,1,1,-0.7071137
0,0,3,0,1,0,0,4,0,0,1,0,2,0,0,1,-0.5625837
0,1,0,3,0,0,0,1,3,0,0,0,0,3,0,1,-0.6485337
0,0,0,0,4,1,0,1,0,2,0,0,0,0,3,1,-0.3032837
0,0,0,3,1,0,0,1,3,0,0,0,0,3,0,1,-0.5739437
0,0,0,1,3,1,0,0,0,3,0,0,0,0,3,1,-0.4845237
0,3,1,0,0,0,2,0,2,0,0,0,3,0,0,1,-0.6538237
0,0,1,0,3,2,0,2,0,0,0,0,2,0,1,1,-0.3557537
3,0,0,1,0,0,0,1,1,2,0,0,1,1,1,1,-0.3655037
2,0,2,0,0,0,0,0,2,2,1,0,1,0,1,1,-0.4144337
1,0,1,2,0,0,3,1,0,0,1,0,1,1,0,1,-0.4683437
0,3,0,1,0,2,0,0,0,2,1,0,0,1,1,1,-0.6357837
0,2,2,0,0,2,0,0,2,0,0,1,1,1,0,1,-0.6098537
0,1,1,1,1,0,0,1,1,2,0,1,1,1,0,1,-0.5913637
0,1,1,0,2,3,1,0,0,0,0,1,1,0,1,1,-0.5525337
0,0,3,1,0,1,0,0,1,2,1,0,0,1,1,1,-0.6117037
0,0,2,2,0,2,1,1,0,0,1,1,0,1,0,1,-0.5550937
0,0,2,1,1,1,0,0,2,1,1,0,1,0,1,1,-0.5039837
0,0,1,2,1,0,1,1,0,2,0,1,1,1,0,1,-0.4715037
0,0,1,1,2,3,0,1,0,0,0,0,1,1,1,1,-0.4903637
3,1,0,0,0,0,2,1,1,0,0,0,1,2,0,1,-0.3296237
1,3,0,0,0,2,0,0,2,0,0,0,2,1,0,1,-0.4436937
1,1,0,0,2,1,2,0,1,0,0,0,0,2,1,1,-0.4556837
1,0,0,0,3,0,1,0,3,0,1,2,0,0,0,1,-0.3989537
0,0,1,0,3,0,0,1,3,0,0,2,1,0,0,1,-0.3720337
2,0,2,0,0,1,1,1,1,0,0,2,0,1,0,1,-0.3343337
0,0,1,2,1,0,1,2,1,0,0,2,0,0,1,1,-0.4896837
0,0,0,3,1,1,2,0,0,1,2,1,0,0,0,1,-0.5197937
0,0,1,3,0,1,0,1,0,2,1,0,0,1,1,1,-0.6161137
2,0,0,2,0,0,0,0,2,2,0,2,0,0,1,1,-0.4160937
0,0,1,2,1,0,2,1,0,1,0,0,2,0,1,1,-0.5298637
2,0,1,1,0,0,0,1,0,3,0,0,1,1,1,1,-0.3886737
2,0,0,2,0,2,1,1,0,0,0,1,2,0,0,1,-0.3334637
0,1,1,0,2,0,1,1,0,2,0,1,1,1,0,1,-0.5950637
1,0,2,1,0,2,2,0,0,0,0,1,2,0,0,1,-0.4047937
0,0,0,2,2,0,0,2,1,1,1,0,2,0,0,1,-0.5884437
3,0,0,0,1,0,0,4,0,0,0,0,0,3,0,1,-0.3103437
2,0,0,1,1,1,0,1,1,1,2,0,1,0,0,1,-0.3621437
0,1,2,1,0,2,1,0,1,0,0,3,0,0,0,1,-0.6309937
